date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-26,dalba,2025-10-02,0,0,0,0,
2025-09-26,innisfree,2025-10-02,0,0,0,0,
2025-09-26,laneige,2025-10-02,0,0,0,0,
2025-09-26,olive young,2025-10-02,0,0,0,0,
2025-09-26,potenza,2025-10-02,1,338,4,0,Ufficio Stampa Basilicata
2025-09-26,sulwhasoo,2025-10-02,0,0,0,0,
2025-09-26,ultraformer,2025-10-02,0,0,0,0,
2025-09-27,dalba,2025-10-02,1,163,2,1,Jesse Dalba
2025-09-27,innisfree,2025-10-02,0,0,0,0,
2025-09-27,laneige,2025-10-02,0,0,0,0,
2025-09-27,olive young,2025-10-02,0,0,0,0,
2025-09-27,potenza,2025-10-02,4,2424,144,0,Parc Fermé TV;La Guarigione - AIMG Italia;Ivánï Olívêra
2025-09-27,sulwhasoo,2025-10-02,0,0,0,0,
2025-09-27,ultraformer,2025-10-02,0,0,0,0,
2025-09-28,dalba,2025-10-02,0,0,0,0,
2025-09-28,innisfree,2025-10-02,0,0,0,0,
2025-09-28,laneige,2025-10-02,2,5440,297,15,twentyfour news
2025-09-28,olive young,2025-10-02,0,0,0,0,
2025-09-28,potenza,2025-10-02,6,1528,55,0,Amici di Gesù - Marco Cicoletti;Chiesa Cristiana Biblica  Assisi - Marsciano;Virtus Academy Benevento
2025-09-28,sulwhasoo,2025-10-02,0,0,0,0,
2025-09-28,ultraformer,2025-10-02,0,0,0,0,
2025-09-29,dalba,2025-10-02,0,0,0,0,
2025-09-29,innisfree,2025-10-02,0,0,0,0,
2025-09-29,laneige,2025-10-02,0,0,0,0,
2025-09-29,olive young,2025-10-02,0,0,0,0,
2025-09-29,potenza,2025-10-02,1,4264,234,6,Potenza Autódromo Internacional
2025-09-29,sulwhasoo,2025-10-02,0,0,0,0,
2025-09-29,ultraformer,2025-10-02,1,8,1,0,Rádio Cidade JF
2025-09-30,dalba,2025-10-02,0,0,0,0,
2025-09-30,innisfree,2025-10-02,0,0,0,0,
2025-09-30,laneige,2025-10-02,0,0,0,0,
2025-09-30,olive young,2025-10-02,0,0,0,0,
2025-09-30,potenza,2025-10-02,1,570,34,3,Hygge Crew
2025-09-30,sulwhasoo,2025-10-02,0,0,0,0,
2025-09-30,ultraformer,2025-10-02,0,0,0,0,
2025-10-01,dalba,2025-10-02,0,0,0,0,
2025-10-01,innisfree,2025-10-02,0,0,0,0,
2025-10-01,laneige,2025-10-02,0,0,0,0,
2025-10-01,olive young,2025-10-02,1,437,28,0,阿敏-超有趣韓文 Learn Korean with us
2025-10-01,potenza,2025-10-02,2,82,0,0,Comune Potenza;Alessandro Carraro
2025-10-01,sulwhasoo,2025-10-02,1,658,57,9,twentyfour news
2025-10-01,ultraformer,2025-10-02,0,0,0,0,
2025-10-02,dalba,2025-10-02,0,0,0,0,
2025-10-02,innisfree,2025-10-02,1,191,3,0,Qoo10
2025-10-02,laneige,2025-10-02,0,0,0,0,
2025-10-02,olive young,2025-10-02,0,0,0,0,
2025-10-02,potenza,2025-10-02,1,62,8,0,"Luciano Angelone, gruppo su ali d' Aquila!"
2025-10-02,sulwhasoo,2025-10-02,0,0,0,0,
2025-10-02,ultraformer,2025-10-02,0,0,0,0,
2025-09-27,dalba,2025-10-03,1,0,0,0,Jesse Dalba
2025-09-27,innisfree,2025-10-03,0,0,0,0,
2025-09-27,laneige,2025-10-03,0,0,0,0,
2025-09-27,merzy,2025-10-03,0,0,0,0,
2025-09-27,olive young,2025-10-03,0,0,0,0,
