report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-10-02,dalba,1,163,2,1,
2025-10-02,innisfree,1,191,3,0,
2025-10-02,laneige,2,5440,297,15,
2025-10-02,olive young,1,437,28,0,
2025-10-02,potenza,16,9268,479,9,
2025-10-02,sulwhasoo,1,658,57,9,
2025-10-02,ultraformer,1,8,1,0,
2025-10-03,dalba,1,0,0,0,
2025-10-03,innisfree,1,202,3,0,
2025-10-03,laneige,3,5587,298,15,
2025-10-03,merzy,1,0,0,0,
2025-10-03,olive young,2,454,29,0,
2025-10-03,potenza,17,9265,524,12,
2025-10-03,sulwhasoo,1,688,59,9,
2025-10-03,ultraformer,1,8,1,0,
2025-10-04,dalba,0,0,0,0,
2025-10-04,goodal,1,167,9,0,
2025-10-04,innisfree,1,209,3,0,
2025-10-04,laneige,3,5613,298,15,
2025-10-04,merzy,1,0,0,0,
2025-10-04,olive young,2,460,29,1,
2025-10-04,potenza,13,7073,387,13,
2025-10-04,sulwhasoo,1,697,59,9,
2025-10-04,ultraformer,1,8,1,0,
2025-10-05,dalba,0,0,0,0,
2025-10-05,goodal,1,182,9,0,
2025-10-05,innisfree,1,211,3,0,
2025-10-05,laneige,1,155,1,0,
2025-10-05,medicube,1,185,1,0,
2025-10-05,merzy,1,0,0,0,
2025-10-05,olive young,2,470,29,1,
2025-10-05,potenza,13,5615,331,13,
2025-10-05,reedle shot,1,5,1,0,
2025-10-05,sulwhasoo,1,726,59,9,
2025-10-05,ultraformer,1,8,1,0,
2025-10-06,dalba,0,0,0,0,
2025-10-06,goodal,1,195,9,0,
2025-10-06,innisfree,1,217,3,0,
2025-10-06,laneige,1,159,1,0,
2025-10-06,medicube,1,200,1,0,
2025-10-06,merzy,1,0,0,0,
2025-10-06,olive young,2,483,30,1,
2025-10-06,potenza,14,1741,105,7,
2025-10-06,reedle shot,2,12,2,0,
2025-10-06,sulwhasoo,1,746,60,9,
2025-10-06,ultraformer,0,0,0,0,
2025-10-07,dalba,0,0,0,0,
2025-10-07,goodal,1,196,9,0,
2025-10-07,innisfree,1,220,3,0,
2025-10-07,laneige,1,160,1,0,
2025-10-07,medicube,1,202,1,0,
2025-10-07,merzy,1,0,0,0,
2025-10-07,olive young,2,494,31,1,
2025-10-07,potenza,13,1163,68,4,
2025-10-07,reedle shot,2,14,2,0,
2025-10-07,sulwhasoo,1,754,60,9,
2025-10-07,ultraformer,0,0,0,0,
2025-10-08,dalba,0,0,0,0,
2025-10-08,goodal,1,198,9,0,
2025-10-08,innisfree,1,222,3,0,
2025-10-08,laneige,1,166,1,0,
2025-10-08,medicube,1,210,1,0,
2025-10-08,merzy,1,0,0,0,
2025-10-08,olive young,1,11,1,0,
2025-10-08,potenza,12,1203,80,4,
2025-10-08,reedle shot,2,24,2,0,
2025-10-08,sulwhasoo,0,0,0,0,
2025-10-08,ultraformer,0,0,0,0,
2025-10-09,dalba,0,0,0,0,
2025-10-09,goodal,1,200,9,0,
2025-10-09,innisfree,0,0,0,0,
2025-10-09,laneige,1,167,1,0,
2025-10-09,medicube,1,211,1,0,
2025-10-09,merzy,1,0,0,0,
2025-10-09,olive young,1,11,1,0,
2025-10-09,potenza,13,1212,81,4,
2025-10-09,reedle shot,2,25,2,0,
2025-10-09,sulwhasoo,0,0,0,0,
2025-10-09,ultraformer,0,0,0,0,
2025-10-10,dalba,0,0,0,0,
2025-10-10,goodal,1,202,9,0,
2025-10-10,innisfree,0,0,0,0,
2025-10-10,laneige,0,0,0,0,
2025-10-10,medicube,1,211,1,0,
2025-10-10,merzy,0,0,0,0,
2025-10-10,olive young,0,0,0,0,
2025-10-10,potenza,12,501,33,0,
2025-10-10,reedle shot,2,25,2,0,
2025-10-10,sulwhasoo,0,0,0,0,
2025-10-10,ultraformer,0,0,0,0,
2025-10-11,dalba,0,0,0,0,
2025-10-11,goodal,0,0,0,0,
2025-10-11,innisfree,0,0,0,0,
2025-10-11,laneige,0,0,0,0,
2025-10-11,medicube,1,214,1,0,
2025-10-11,merzy,0,0,0,0,
2025-10-11,olive young,0,0,0,0,
2025-10-11,potenza,13,618,33,0,
2025-10-11,reedle shot,2,25,2,0,
2025-10-11,sulwhasoo,0,0,0,0,
2025-10-11,ultraformer,0,0,0,0,
2025-10-12,dalba,0,0,0,0,
2025-10-12,goodal,0,0,0,0,
2025-10-12,innisfree,0,0,0,0,
2025-10-12,laneige,0,0,0,0,
2025-10-12,medicube,0,0,0,0,
2025-10-12,merzy,0,0,0,0,
2025-10-12,olive young,0,0,0,0,
2025-10-12,potenza,19,4360,290,2,
2025-10-12,reedle shot,1,10,1,0,
2025-10-12,sulwhasoo,0,0,0,0,
2025-10-12,ultraformer,0,0,0,0,
2025-10-13,dalba,0,0,0,0,
2025-10-13,goodal,0,0,0,0,
2025-10-13,innisfree,0,0,0,0,
2025-10-13,laneige,0,0,0,0,
2025-10-13,medicube,0,0,0,0,
2025-10-13,merzy,0,0,0,0,
2025-10-13,olive young,0,0,0,0,
2025-10-13,potenza,19,5239,352,12,
2025-10-13,reedle shot,0,0,0,0,
2025-10-13,sulwhasoo,0,0,0,0,
2025-10-13,ultraformer,0,0,0,0,
2025-10-14,dalba,0,0,0,0,
2025-10-14,goodal,0,0,0,0,
2025-10-14,innisfree,0,0,0,0,
2025-10-14,laneige,0,0,0,0,
2025-10-14,medicube,1,34,2,0,
2025-10-14,merzy,0,0,0,0,
2025-10-14,olive young,0,0,0,0,
2025-10-14,potenza,19,5542,361,14,
2025-10-14,reedle shot,0,0,0,0,
2025-10-14,sulwhasoo,0,0,0,0,
2025-10-14,ultraformer,0,0,0,0,
2025-10-15,dalba,0,0,0,0,
2025-10-15,goodal,0,0,0,0,
2025-10-15,innisfree,0,0,0,0,
2025-10-15,laneige,0,0,0,0,
2025-10-15,medicube,1,34,2,0,
2025-10-15,merzy,0,0,0,0,
2025-10-15,olive young,0,0,0,0,
2025-10-15,potenza,21,6060,376,14,
2025-10-15,reedle shot,0,0,0,0,
