video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields,cohort_date_utc,selected_at_ts_utc,rank_on_selection,selection_order,title,description,tags
0IeIsZBI9aE,innisfree,2025-10-02,UCfnWvqHsWa7jfYrEZGtF61g,Qoo10,2025-10-03T07:00:00.594897+00:00,title|description|tags,2025-10-02,2025-10-03T07:00:00.594897+00:00,1,viewCount,,,
EI00kj_fgSM,potenza,2025-10-02,UCHLenGavTjEB6FYOlCd_pmA,"Luciano Angelone, gruppo su ali d' Aquila!",2025-10-03T07:00:00.594897+00:00,title|description|tags,2025-10-02,2025-10-03T07:00:00.594897+00:00,1,viewCount,,,
OK5CiX698Pk,olive young,2025-10-01,UCxMcv3yY-HXRBRECdM5fqUA,阿敏-超有趣韓文 Learn Korean with us,2025-10-03T07:00:35.961653+00:00,title|description|tags,2025-10-01,2025-10-03T07:00:35.961653+00:00,1,viewCount,,,
7WXH-LJ3KK8,sulwhasoo,2025-10-01,UCPQ7sh6Oi4aEA8uDYGTE5Pw,twentyfour news,2025-10-03T07:00:35.961653+00:00,title|description|tags,2025-10-01,2025-10-03T07:00:35.961653+00:00,1,viewCount,,,
EkDXgmAYdGI,potenza,2025-10-01,UCMHbWRCYdw3jqmQSSlbFcAw,Comune Potenza,2025-10-03T07:00:35.961653+00:00,title|description|tags,2025-10-01,2025-10-03T07:00:35.961653+00:00,1,viewCount,,,
1U3Bx4ImWIY,potenza,2025-10-01,UCPF-JghLGrzAZkHMyg7nNsQ,Alessandro Carraro,2025-10-03T07:00:35.961653+00:00,title|description|tags,2025-10-01,2025-10-03T07:00:35.961653+00:00,2,viewCount,,,
wJZiYiw6ZFw,potenza,2025-09-30,UCCvGcRbaF3r7Rfw1dmvm0Fw,Hygge Crew,2025-10-03T07:01:12.289987+00:00,title|description|tags,2025-09-30,2025-10-03T07:01:12.289987+00:00,1,viewCount,,,
_pcnMsvM4dM,ultraformer,2025-09-29,UCHJbDvAEyRHxpdA81QzRHLA,Rádio Cidade JF,2025-10-03T07:01:44.580058+00:00,title|description|tags,2025-09-29,2025-10-03T07:01:44.580058+00:00,1,viewCount,,,
Zb_o2BgeRv0,potenza,2025-09-29,UCa3jyTOUXikXw3iofADXo0g,Potenza Autódromo Internacional,2025-10-03T07:01:44.580058+00:00,title|description|tags,2025-09-29,2025-10-03T07:01:44.580058+00:00,1,viewCount,,,
DkRcoKIlrg4,laneige,2025-09-28,UCPQ7sh6Oi4aEA8uDYGTE5Pw,twentyfour news,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,1,viewCount,,,
AbfVXve2xaM,laneige,2025-09-28,UCPQ7sh6Oi4aEA8uDYGTE5Pw,twentyfour news,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,2,viewCount,,,
g-9nqMIFcAc,potenza,2025-09-28,UCFOLXqvfliuT3Q-W7FtNf9Q,Amici di Gesù - Marco Cicoletti,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,1,viewCount,,,
X-DlfhgJeXo,potenza,2025-09-28,UCJimVEZMgNLVORQzkWO1Iew,Virtus Academy Benevento,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,2,viewCount,,,
Bjb-4YcYDG8,potenza,2025-09-28,UCSGLD24JFIIvQuAX5vPpG7A,Chiesa Cristiana Biblica  Assisi - Marsciano,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,3,viewCount,,,
K8y9CbYfg7I,potenza,2025-09-28,UC_1cDIC7bh-mm_yerNc6H-g,santafamigliapotenza,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,4,viewCount,,,
dIiKcoFnaxw,potenza,2025-09-28,UC_1cDIC7bh-mm_yerNc6H-g,santafamigliapotenza,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,5,viewCount,,,
iwbE9KBfCKM,potenza,2025-09-28,UC_1cDIC7bh-mm_yerNc6H-g,santafamigliapotenza,2025-10-03T07:02:17.347438+00:00,title|description|tags,2025-09-28,2025-10-03T07:02:17.347438+00:00,6,viewCount,,,
