video_id,as_of_date_utc,as_of_ts_utc,viewCount,likeCount,commentCount
0IeIsZBI9aE,2025-10-02,2025-10-03T07:03:59.553677+00:00,191,3,0
EI00kj_fgSM,2025-10-02,2025-10-03T07:03:59.553730+00:00,62,8,0
OK5CiX698Pk,2025-10-02,2025-10-03T07:03:59.553740+00:00,437,28,0
7WXH-LJ3KK8,2025-10-02,2025-10-03T07:03:59.553748+00:00,658,57,9
EkDXgmAYdGI,2025-10-02,2025-10-03T07:03:59.553756+00:00,63,0,0
1U3Bx4ImWIY,2025-10-02,2025-10-03T07:03:59.553763+00:00,19,0,0
wJZiYiw6ZFw,2025-10-02,2025-10-03T07:03:59.553770+00:00,570,34,3
_pcnMsvM4dM,2025-10-02,2025-10-03T07:03:59.553776+00:00,8,1,0
Zb_o2BgeRv0,2025-10-02,2025-10-03T07:03:59.553783+00:00,4264,234,6
DkRcoKIlrg4,2025-10-02,2025-10-03T07:03:59.553790+00:00,4251,254,15
AbfVXve2xaM,2025-10-02,2025-10-03T07:03:59.553797+00:00,1189,43,0
g-9nqMIFcAc,2025-10-02,2025-10-03T07:03:59.553804+00:00,914,45,0
X-DlfhgJeXo,2025-10-02,2025-10-03T07:03:59.553810+00:00,574,4,0
Bjb-4YcYDG8,2025-10-02,2025-10-03T07:03:59.553817+00:00,38,6,0
K8y9CbYfg7I,2025-10-02,2025-10-03T07:03:59.553824+00:00,2,0,0
dIiKcoFnaxw,2025-10-02,2025-10-03T07:03:59.553831+00:00,0,0,0
iwbE9KBfCKM,2025-10-02,2025-10-03T07:03:59.553838+00:00,0,0,0
mBod_zbU02I,2025-10-02,2025-10-03T07:03:59.553844+00:00,2157,117,0
fPT_iuIy4T0,2025-10-02,2025-10-03T07:03:59.553851+00:00,136,6,0
5SceTpYSBuw,2025-10-02,2025-10-03T07:03:59.553858+00:00,100,14,0
MBIlm1ov71s,2025-10-02,2025-10-03T07:03:59.553865+00:00,31,7,0
QVFj3BZP1Pk,2025-10-02,2025-10-03T07:03:59.553871+00:00,163,2,1
bVbXTgMUCu4,2025-10-02,2025-10-03T07:03:59.553877+00:00,338,4,0
0IeIsZBI9aE,2025-10-03,2025-10-04T07:00:38.128432+00:00,202,3,0
EI00kj_fgSM,2025-10-03,2025-10-04T07:00:38.128462+00:00,71,8,0
OK5CiX698Pk,2025-10-03,2025-10-04T07:00:38.128466+00:00,446,28,0
7WXH-LJ3KK8,2025-10-03,2025-10-04T07:00:38.128470+00:00,688,59,9
EkDXgmAYdGI,2025-10-03,2025-10-04T07:00:38.128474+00:00,66,0,0
1U3Bx4ImWIY,2025-10-03,2025-10-04T07:00:38.128478+00:00,23,0,0
wJZiYiw6ZFw,2025-10-03,2025-10-04T07:00:38.128482+00:00,605,36,3
_pcnMsvM4dM,2025-10-03,2025-10-04T07:00:38.128485+00:00,8,1,0
Zb_o2BgeRv0,2025-10-03,2025-10-04T07:00:38.128489+00:00,3967,234,6
DkRcoKIlrg4,2025-10-03,2025-10-04T07:00:38.128493+00:00,4262,254,15
AbfVXve2xaM,2025-10-03,2025-10-04T07:00:38.128497+00:00,1192,43,0
g-9nqMIFcAc,2025-10-03,2025-10-04T07:00:38.128501+00:00,955,47,0
X-DlfhgJeXo,2025-10-03,2025-10-04T07:00:38.128504+00:00,585,4,0
Bjb-4YcYDG8,2025-10-03,2025-10-04T07:00:38.128507+00:00,38,6,0
K8y9CbYfg7I,2025-10-03,2025-10-04T07:00:38.128511+00:00,2,0,0
dIiKcoFnaxw,2025-10-03,2025-10-04T07:00:38.128514+00:00,0,0,0
iwbE9KBfCKM,2025-10-03,2025-10-04T07:00:38.128518+00:00,0,0,0
mBod_zbU02I,2025-10-03,2025-10-04T07:00:38.128521+00:00,2192,117,0
