date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-25,buldak,2025-10-01,0,0,0,0,
2025-09-25,emart,2025-10-01,0,0,0,0,
2025-09-25,jinro,2025-10-01,1,33955,228,3,SBS Golf
2025-09-25,nongshim,2025-10-01,0,0,0,0,
2025-09-25,samyang,2025-10-01,1,1429,12,1,Tiny Mila Chef
2025-09-25,sempio,2025-10-01,0,0,0,0,
2025-09-25,toomba,2025-10-01,0,0,0,0,
2025-09-26,buldak,2025-10-01,0,0,0,0,
2025-09-26,emart,2025-10-01,0,0,0,0,
2025-09-26,jinro,2025-10-01,1,33059,201,2,SBS Golf
2025-09-26,nongshim,2025-10-01,0,0,0,0,
2025-09-26,samyang,2025-10-01,0,0,0,0,
2025-09-26,sempio,2025-10-01,4,34214,1508,494,EIZEN;OverTheNight
2025-09-26,toomba,2025-10-01,1,41,2,0,QuickerTrigger
2025-09-27,buldak,2025-10-01,0,0,0,0,
2025-09-27,emart,2025-10-01,0,0,0,0,
2025-09-27,jinro,2025-10-01,1,42340,278,2,SBS Golf
2025-09-27,nongshim,2025-10-01,1,1787,31,1,HoK Esports
2025-09-27,samyang,2025-10-01,2,2192,209,5,Tiny Mila Chef;Cleo RuBayJen
2025-09-27,sempio,2025-10-01,3,25921,191,68,Marco Puggini;🔥NęMəşįS ÆţHęŘń   NęWHØřIžøŇ🔥;COLDCASES E MALAGIUSTIZIA
2025-09-27,toomba,2025-10-01,0,0,0,0,
2025-09-28,buldak,2025-10-01,0,0,0,0,
2025-09-28,emart,2025-10-01,1,9,1,0,BEM GLORY EMART TUDAN MIRI (GET YOUTH MINISTRY)
2025-09-28,jinro,2025-10-01,1,114380,642,4,SBS Golf
2025-09-28,nongshim,2025-10-01,0,0,0,0,
2025-09-28,samyang,2025-10-01,0,0,0,0,
2025-09-28,sempio,2025-10-01,1,19059,702,177,OverTheNight
2025-09-28,toomba,2025-10-01,0,0,0,0,
2025-09-29,buldak,2025-10-01,4,1991,75,0,bari;Chrissy Eats;Attack Their Nuts
2025-09-29,emart,2025-10-01,0,0,0,0,
2025-09-29,jinro,2025-10-01,0,0,0,0,
2025-09-29,nongshim,2025-10-01,0,0,0,0,
2025-09-29,samyang,2025-10-01,1,431,182,42,Tiny Mila Chef
2025-09-29,sempio,2025-10-01,0,0,0,0,
2025-09-29,toomba,2025-10-01,0,0,0,0,
2025-09-30,buldak,2025-10-01,1,164,0,0,TOTALLTOsmallfamily
2025-09-30,emart,2025-10-01,0,0,0,0,
2025-09-30,jinro,2025-10-01,1,23,0,0,eipen
2025-09-30,nongshim,2025-10-01,0,0,0,0,
2025-09-30,samyang,2025-10-01,0,0,0,0,
2025-09-30,sempio,2025-10-01,3,72561,3315,569,LIFE NEW Giorgio Di Salvo ;OverTheNight;COLDCASES E MALAGIUSTIZIA
2025-09-30,toomba,2025-10-01,0,0,0,0,
2025-10-01,buldak,2025-10-01,2,1219,27,1,Chrissy Eats;Areeba’s home 
2025-10-01,emart,2025-10-01,0,0,0,0,
2025-10-01,jinro,2025-10-01,0,0,0,0,
2025-10-01,nongshim,2025-10-01,0,0,0,0,
2025-10-01,samyang,2025-10-01,2,630,245,42,Sendal Jokey;Tiny Mila Chef
2025-10-01,sempio,2025-10-01,1,2003,206,12,COSMOPOLINerd
2025-10-01,toomba,2025-10-01,0,0,0,0,
2025-09-26,buldak,2025-10-02,0,0,0,0,
2025-09-26,emart,2025-10-02,0,0,0,0,
2025-09-26,jinro,2025-10-02,1,33161,202,2,SBS Golf
2025-09-26,nongshim,2025-10-02,0,0,0,0,
2025-09-26,samyang,2025-10-02,0,0,0,0,
2025-09-26,sempio,2025-10-02,4,34344,1510,494,EIZEN;OverTheNight
2025-09-26,toomba,2025-10-02,1,41,2,0,QuickerTrigger
2025-09-27,buldak,2025-10-02,0,0,0,0,
2025-09-27,emart,2025-10-02,0,0,0,0,
2025-09-27,jinro,2025-10-02,1,42430,278,2,SBS Golf
2025-09-27,nongshim,2025-10-02,1,1798,31,1,HoK Esports
2025-09-27,samyang,2025-10-02,2,2199,209,5,Tiny Mila Chef;Cleo RuBayJen
2025-09-27,sempio,2025-10-02,3,25935,191,68,Marco Puggini;🔥NęMəşįS ÆţHęŘń   NęWHØřIžøŇ🔥;COLDCASES E MALAGIUSTIZIA
2025-09-27,toomba,2025-10-02,0,0,0,0,
2025-09-28,buldak,2025-10-02,0,0,0,0,
2025-09-28,emart,2025-10-02,1,9,1,0,BEM GLORY EMART TUDAN MIRI (GET YOUTH MINISTRY)
2025-09-28,jinro,2025-10-02,1,114619,643,4,SBS Golf
2025-09-28,nongshim,2025-10-02,0,0,0,0,
2025-09-28,samyang,2025-10-02,0,0,0,0,
2025-09-28,sempio,2025-10-02,1,19190,705,177,OverTheNight
2025-09-28,toomba,2025-10-02,0,0,0,0,
2025-09-29,buldak,2025-10-02,4,2009,75,0,bari;Chrissy Eats;Attack Their Nuts
2025-09-29,emart,2025-10-02,0,0,0,0,
2025-09-29,jinro,2025-10-02,0,0,0,0,
