report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-10-01,buldak,7,3374,102,1,
2025-10-01,emart,1,9,1,0,
2025-10-01,jinro,5,223757,1349,11,
2025-10-01,nongshim,1,1787,31,1,
2025-10-01,samyang,6,4682,648,90,
2025-10-01,sempio,12,153758,5922,1320,
2025-10-01,toomba,1,41,2,0,
2025-10-02,buldak,7,3407,104,1,
2025-10-02,emart,1,9,1,0,
2025-10-02,jinro,4,190236,1123,8,
2025-10-02,nongshim,2,2211,44,1,
2025-10-02,samyang,5,3273,638,48,
2025-10-02,sempio,13,162742,6198,1355,
2025-10-02,toomba,1,41,2,0,
2025-10-03,buldak,7,3424,104,1,
2025-10-03,emart,1,9,1,0,
2025-10-03,jinro,3,157341,922,6,
2025-10-03,lotte mart,1,81,2,0,
2025-10-03,nongshim,2,2226,44,1,
2025-10-03,samyang,5,3290,639,46,
2025-10-03,sempio,10,133100,4939,905,
2025-10-03,toomba,0,0,0,0,
2025-10-04,buldak,7,3442,104,1,
2025-10-04,emart,1,9,1,0,
2025-10-04,jinro,2,114928,643,4,
2025-10-04,lotte mart,1,81,2,0,
2025-10-04,nongshim,1,414,13,0,
2025-10-04,samyang,3,1092,431,40,
2025-10-04,sempio,8,111015,4862,889,
2025-10-04,toomba,0,0,0,0,
2025-10-05,buldak,9,3695,117,5,
2025-10-05,emart,0,0,0,0,
2025-10-05,jinro,1,28,0,0,
2025-10-05,lotte mart,1,81,2,0,
2025-10-05,nongshim,1,415,13,0,
2025-10-05,samyang,3,1098,431,38,
2025-10-05,sempio,7,93072,4203,727,
2025-10-05,toomba,0,0,0,0,
2025-10-06,buldak,6,1744,54,9,
2025-10-06,emart,0,0,0,0,
2025-10-06,jinro,1,29,0,0,
2025-10-06,lotte mart,1,81,2,0,
2025-10-06,nongshim,1,416,13,0,
2025-10-06,samyang,2,655,249,21,
2025-10-06,sempio,7,93927,4231,737,
2025-10-06,toomba,0,0,0,0,
2025-10-07,buldak,5,1607,54,9,
2025-10-07,emart,0,0,0,0,
2025-10-07,jinro,0,0,0,0,
2025-10-07,lotte mart,1,81,3,1,
2025-10-07,nongshim,1,416,13,0,
2025-10-07,samyang,2,659,249,18,
2025-10-07,sempio,5,21903,858,208,
2025-10-07,toomba,0,0,0,0,
2025-10-08,buldak,4,13474,107,9,
2025-10-08,emart,0,0,0,0,
2025-10-08,jinro,0,0,0,0,
2025-10-08,lotte mart,1,81,3,1,
2025-10-08,nongshim,1,416,13,0,
2025-10-08,samyang,0,0,0,0,
2025-10-08,sempio,5,20808,642,206,
2025-10-08,toomba,0,0,0,0,
2025-10-09,buldak,4,13490,107,9,
2025-10-09,emart,0,0,0,0,
2025-10-09,havmor,1,3,3,0,
2025-10-09,jinro,0,0,0,0,
2025-10-09,lotte mart,1,81,3,1,
2025-10-09,nongshim,0,0,0,0,
2025-10-09,samyang,0,0,0,0,
2025-10-09,sempio,5,21836,793,218,
2025-10-09,toomba,0,0,0,0,
2025-10-10,buldak,6,14447,132,11,
2025-10-10,emart,0,0,0,0,
2025-10-10,havmor,1,3,3,0,
2025-10-10,jinro,0,0,0,0,
2025-10-10,lotte mart,0,0,0,0,
2025-10-10,nongshim,0,0,0,0,
2025-10-10,samyang,1,1886,187,12,
2025-10-10,sempio,4,17975,570,115,
2025-10-10,soon hari,1,74,14,0,
2025-10-10,toomba,0,0,0,0,
2025-10-11,buldak,6,14455,132,12,
2025-10-11,emart,0,0,0,0,
2025-10-11,havmor,1,3,3,0,
2025-10-11,jinro,0,0,0,0,
2025-10-11,lotte mart,0,0,0,0,
2025-10-11,nongshim,0,0,0,0,
2025-10-11,samyang,2,2152,210,15,
2025-10-11,sempio,4,24143,800,155,
2025-10-11,soon hari,1,75,14,0,
2025-10-11,toomba,0,0,0,0,
2025-10-12,buldak,5,14423,116,7,
2025-10-12,emart,0,0,0,0,
2025-10-12,havmor,1,3,3,0,
2025-10-12,jinro,0,0,0,0,
2025-10-12,lotte mart,0,0,0,0,
