Keyword,Aliases,Korean
jinro,,진로
terra beer,terra-beer|terra.beer|terra_beer|terrabeer,테라 맥주
chamisul,,참이슬
jongga,,종가 김치
daesang,,대상 주식회사
chung jung one,chung-jung-one|chung.jung.one|chung_jung_one|chungjungone,청정원
buldak,,불닭
samyang,,삼양
shin ramen,shin-ramen|shin.ramen|shin_ramen|shinramen|shin ramyun|shin-ramyun|shin.ramyun|shin_ramyun|shinramyun,신라면
nongshim,,농심
toomba,,툼바
chapagetti,,짜파게티
neoguri,,너구리 라면
binggrae,,빙그레
melona,,메로나
haitai ice,haitai-ice|haitai.ice|haitai_ice|haitaiice,해태아이스
chum churum,chum-churum|chum.churum|chum_churum|chumchurum,처음처럼 소주
soon hari,soon-hari|soon.hari|soon_hari|soonhari,순하리
chilsung,,칠성
milkis,,밀키스
samlip,,삼립
starkist,,스타키스트
ottogi,otoki,오뚜기
jin ramen,jin-ramen|jin.ramen|jin_ramen|jinramen|jin ramyun|jinramyun|jin-ramyun|jin.ramyun|jin_ramyun,진라면
pulmuone,,풀무원
nasoya,,나소야
plantspired,,
lotte mart,lotte-mart|lotte.mart|lotte_mart|lottemart,롯데마트
maxim coffee,maxim-coffee|maxim.coffee|maxim_coffee|maximcoffee,맥심 커피
kanu coffee,kanu-coffee|kanu.coffee|kanu_coffee|kanucoffee,카누 커피
kooksoondang,,국순당
dongwon tuna,dongwon-tuna|dongwon.tuna|dongwon_tuna|dongwontuna,동원참치
bibigo,,비비고
beksul,,백설 요리
hetbahn,,햇반 밥
emart,,이마트
sempio,,샘표
orion choco pie,orion-choco-pie|orion.choco.pie|orion_choco_pie|orionchocopie|choco pie|chocopie,오리온 초코파이
turtle chips,turtle-chips|turtle.chips|turtle_chips|turtlechips,꼬북칩
lotte choco pie,lotte-choco-pie|lotte.choco.pie|lotte_choco_pie|lottechocopie|choco pie|chocopie,롯데 초코파이
havmor,,
pepero,,빼빼로
kyochon,,교촌
paik's coffee,paik-s-coffee|paik.s.coffee|paik_s_coffee|paikscoffee,빽다방
