date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-25,beksul,2025-10-01,0,0,0,0,
2025-09-25,bibigo,2025-10-01,0,0,0,0,
2025-09-25,binggrae,2025-10-01,0,0,0,0,
2025-09-25,buldak,2025-10-01,0,0,0,0,
2025-09-25,chamisul,2025-10-01,0,0,0,0,
2025-09-25,chapagetti,2025-10-01,0,0,0,0,
2025-09-25,chum churum,2025-10-01,0,0,0,0,
2025-09-25,chung jung one,2025-10-01,0,0,0,0,
2025-09-25,daesang,2025-10-01,0,0,0,0,
2025-09-25,emart,2025-10-01,0,0,0,0,
2025-09-25,havmor,2025-10-01,0,0,0,0,
2025-09-25,jin ramen,2025-10-01,0,0,0,0,
2025-09-25,jinro,2025-10-01,1,33955,228,3,
2025-09-25,jongga,2025-10-01,0,0,0,0,
2025-09-25,kyochon,2025-10-01,0,0,0,0,
2025-09-25,lotte choco pie,2025-10-01,0,0,0,0,
2025-09-25,lotte mart,2025-10-01,0,0,0,0,
2025-09-25,maxim coffee,2025-10-01,0,0,0,0,
2025-09-25,melona,2025-10-01,0,0,0,0,
2025-09-25,milkis,2025-10-01,0,0,0,0,
2025-09-25,nasoya,2025-10-01,0,0,0,0,
2025-09-25,neoguri,2025-10-01,0,0,0,0,
2025-09-25,nongshim,2025-10-01,0,0,0,0,
2025-09-25,orion choco pie,2025-10-01,0,0,0,0,
2025-09-25,ottogi,2025-10-01,0,0,0,0,
2025-09-25,pepero,2025-10-01,0,0,0,0,
2025-09-25,plantspired,2025-10-01,0,0,0,0,
2025-09-25,pulmuone,2025-10-01,0,0,0,0,
2025-09-25,samlip,2025-10-01,0,0,0,0,
2025-09-25,samyang,2025-10-01,0,0,0,0,
2025-09-25,sempio,2025-10-01,0,0,0,0,
2025-09-25,shin ramen,2025-10-01,0,0,0,0,
2025-09-25,soon hari,2025-10-01,0,0,0,0,
2025-09-25,starkist,2025-10-01,0,0,0,0,
2025-09-25,toomba,2025-10-01,0,0,0,0,
2025-09-25,turtle chips,2025-10-01,0,0,0,0,
2025-09-26,beksul,2025-10-01,0,0,0,0,
2025-09-26,bibigo,2025-10-01,0,0,0,0,
2025-09-26,binggrae,2025-10-01,0,0,0,0,
2025-09-26,buldak,2025-10-01,0,0,0,0,
2025-09-26,chamisul,2025-10-01,0,0,0,0,
2025-09-26,chapagetti,2025-10-01,0,0,0,0,
2025-09-26,chum churum,2025-10-01,0,0,0,0,
2025-09-26,chung jung one,2025-10-01,0,0,0,0,
2025-09-26,daesang,2025-10-01,0,0,0,0,
2025-09-26,emart,2025-10-01,0,0,0,0,
2025-09-26,havmor,2025-10-01,0,0,0,0,
2025-09-26,jin ramen,2025-10-01,0,0,0,0,
2025-09-26,jinro,2025-10-01,1,33059,201,2,
2025-09-26,jongga,2025-10-01,0,0,0,0,
2025-09-26,kyochon,2025-10-01,0,0,0,0,
2025-09-26,lotte choco pie,2025-10-01,0,0,0,0,
2025-09-26,lotte mart,2025-10-01,0,0,0,0,
2025-09-26,maxim coffee,2025-10-01,0,0,0,0,
2025-09-26,melona,2025-10-01,0,0,0,0,
2025-09-26,milkis,2025-10-01,0,0,0,0,
2025-09-26,nasoya,2025-10-01,0,0,0,0,
2025-09-26,neoguri,2025-10-01,0,0,0,0,
2025-09-26,nongshim,2025-10-01,0,0,0,0,
2025-09-26,orion choco pie,2025-10-01,0,0,0,0,
2025-09-26,ottogi,2025-10-01,0,0,0,0,
2025-09-26,pepero,2025-10-01,0,0,0,0,
2025-09-26,plantspired,2025-10-01,0,0,0,0,
2025-09-26,pulmuone,2025-10-01,0,0,0,0,
2025-09-26,samlip,2025-10-01,0,0,0,0,
2025-09-26,samyang,2025-10-01,0,0,0,0,
2025-09-26,sempio,2025-10-01,1,22104,1095,347,
2025-09-26,shin ramen,2025-10-01,0,0,0,0,
2025-09-26,soon hari,2025-10-01,0,0,0,0,
2025-09-26,starkist,2025-10-01,0,0,0,0,
2025-09-26,toomba,2025-10-01,1,41,2,0,
2025-09-26,turtle chips,2025-10-01,0,0,0,0,
2025-09-27,beksul,2025-10-01,0,0,0,0,
2025-09-27,bibigo,2025-10-01,0,0,0,0,
2025-09-27,binggrae,2025-10-01,0,0,0,0,
2025-09-27,buldak,2025-10-01,0,0,0,0,
2025-09-27,chamisul,2025-10-01,0,0,0,0,
2025-09-27,chapagetti,2025-10-01,0,0,0,0,
2025-09-27,chum churum,2025-10-01,0,0,0,0,
2025-09-27,chung jung one,2025-10-01,0,0,0,0,
2025-09-27,daesang,2025-10-01,0,0,0,0,
2025-09-27,emart,2025-10-01,0,0,0,0,
2025-09-27,havmor,2025-10-01,0,0,0,0,
2025-09-27,jin ramen,2025-10-01,0,0,0,0,
2025-09-27,jinro,2025-10-01,1,42340,278,2,
2025-09-27,jongga,2025-10-01,0,0,0,0,
2025-09-27,kyochon,2025-10-01,0,0,0,0,
2025-09-27,lotte choco pie,2025-10-01,0,0,0,0,
2025-09-27,lotte mart,2025-10-01,0,0,0,0,
2025-09-27,maxim coffee,2025-10-01,0,0,0,0,
2025-09-27,melona,2025-10-01,0,0,0,0,
2025-09-27,milkis,2025-10-01,0,0,0,0,
2025-09-27,nasoya,2025-10-01,0,0,0,0,
2025-09-27,neoguri,2025-10-01,0,0,0,0,
2025-09-27,nongshim,2025-10-01,1,1787,31,1,
2025-09-27,orion choco pie,2025-10-01,0,0,0,0,
2025-09-27,ottogi,2025-10-01,0,0,0,0,
2025-09-27,pepero,2025-10-01,0,0,0,0,
2025-09-27,plantspired,2025-10-01,0,0,0,0,
2025-09-27,pulmuone,2025-10-01,0,0,0,0,
2025-09-27,samlip,2025-10-01,0,0,0,0,
2025-09-27,samyang,2025-10-01,1,1936,207,5,
2025-09-27,sempio,2025-10-01,3,25921,191,68,
2025-09-27,shin ramen,2025-10-01,0,0,0,0,
2025-09-27,soon hari,2025-10-01,0,0,0,0,
2025-09-27,starkist,2025-10-01,0,0,0,0,
2025-09-27,toomba,2025-10-01,0,0,0,0,
2025-09-27,turtle chips,2025-10-01,0,0,0,0,
2025-09-28,beksul,2025-10-01,0,0,0,0,
2025-09-28,bibigo,2025-10-01,0,0,0,0,
2025-09-28,binggrae,2025-10-01,0,0,0,0,
2025-09-28,buldak,2025-10-01,0,0,0,0,
2025-09-28,chamisul,2025-10-01,0,0,0,0,
2025-09-28,chapagetti,2025-10-01,0,0,0,0,
