report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-10-01,beksul,0,0,0,0,
2025-10-01,bibigo,0,0,0,0,
2025-10-01,binggrae,0,0,0,0,
2025-10-01,buldak,7,3374,102,1,
2025-10-01,chamisul,0,0,0,0,
2025-10-01,chapagetti,0,0,0,0,
2025-10-01,chum churum,0,0,0,0,
2025-10-01,chung jung one,0,0,0,0,
2025-10-01,daesang,0,0,0,0,
2025-10-01,emart,1,9,1,0,
2025-10-01,havmor,0,0,0,0,
2025-10-01,jin ramen,0,0,0,0,
2025-10-01,jinro,4,223734,1349,11,
2025-10-01,jongga,0,0,0,0,
2025-10-01,kyochon,0,0,0,0,
2025-10-01,lotte choco pie,0,0,0,0,
2025-10-01,lotte mart,0,0,0,0,
2025-10-01,maxim coffee,0,0,0,0,
2025-10-01,melona,0,0,0,0,
2025-10-01,milkis,0,0,0,0,
2025-10-01,nasoya,0,0,0,0,
2025-10-01,neoguri,0,0,0,0,
2025-10-01,nongshim,1,1787,31,1,
2025-10-01,orion choco pie,0,0,0,0,
2025-10-01,ottogi,0,0,0,0,
2025-10-01,pepero,0,0,0,0,
2025-10-01,plantspired,0,0,0,0,
2025-10-01,pulmuone,0,0,0,0,
2025-10-01,samlip,0,0,0,0,
2025-10-01,samyang,2,2482,349,9,
2025-10-01,sempio,8,106365,3543,998,
2025-10-01,shin ramen,0,0,0,0,
2025-10-01,soon hari,0,0,0,0,
2025-10-01,starkist,0,0,0,0,
2025-10-01,toomba,1,41,2,0,
2025-10-01,turtle chips,0,0,0,0,
2025-10-02,beksul,0,0,0,0,
2025-10-02,bibigo,0,0,0,0,
2025-10-02,binggrae,0,0,0,0,
2025-10-02,buldak,7,3407,104,1,
2025-10-02,chamisul,0,0,0,0,
2025-10-02,chapagetti,0,0,0,0,
2025-10-02,chum churum,0,0,0,0,
2025-10-02,chung jung one,0,0,0,0,
2025-10-02,daesang,0,0,0,0,
2025-10-02,emart,1,9,1,0,
2025-10-02,havmor,0,0,0,0,
2025-10-02,jin ramen,0,0,0,0,
2025-10-02,jinro,3,190210,1123,8,
2025-10-02,jongga,0,0,0,0,
2025-10-02,kyochon,0,0,0,0,
2025-10-02,lotte choco pie,0,0,0,0,
2025-10-02,lotte mart,0,0,0,0,
2025-10-02,maxim coffee,0,0,0,0,
2025-10-02,melona,0,0,0,0,
2025-10-02,milkis,0,0,0,0,
2025-10-02,nasoya,0,0,0,0,
2025-10-02,neoguri,0,0,0,0,
