video_id,brand,lang,conf,decision,reason,keep
FzBiMfTDjbo,buldak,en,0.8599361181259155,keep,"keep: auto: en(0.86), dbg={'ft': ('en', 0.8599361181259155), 'cld3': ('', 0.0), 'hint_en': False}",True
EshpPc8jKos,buldak,en,0.4763612747192383,keep,"keep: unknown allowed — auto: en(0.48), dbg={'ft': ('en', 0.4763612747192383), 'cld3': ('', 0.0), 'hint_en': False}",True
2jbTxIZr7a0,samyang,en,0.595098614692688,keep,"keep: unknown allowed — auto: en(0.60), dbg={'ft': ('en', 0.595098614692688), 'cld3': ('', 0.0), 'hint_en': False}",True
xoBb41OezHI,samyang,fr,0.8140203356742859,drop,"drop: non-keep fr(0.81) — auto: fr(0.81), dbg={'ft': ('fr', 0.8140203356742859), 'cld3': ('', 0.0), 'hint_en': False}",False
TS5A7ulWzXY,sempio,en,0.40881049633026123,keep,"keep: unknown allowed — auto: en(0.41), dbg={'ft': ('en', 0.40881049633026123), 'cld3': ('', 0.0), 'hint_en': False}",True
wjfY-NSVvPc,jinro,nl,0.6682010293006897,drop,"drop: non-keep nl(0.67) — auto: nl(0.67), dbg={'ft': ('nl', 0.6682010293006897), 'cld3': ('', 0.0), 'hint_en': False}",False
eiuschqogus,buldak,en,0.7797181010246277,keep,"keep: auto: en(0.78), dbg={'ft': ('en', 0.7797181010246277), 'cld3': ('', 0.0), 'hint_en': False}",True
Zgy_PkAJSHg,sempio,it,0.8759843111038208,drop,"drop: non-keep it(0.88) — auto: it(0.88), dbg={'ft': ('it', 0.8759843111038208), 'cld3': ('', 0.0), 'hint_en': False}",False
rq7nsw41igk,sempio,en,0.6852753758430481,keep,"keep: auto: en(0.69), dbg={'ft': ('en', 0.6852753758430481), 'cld3': ('', 0.0), 'hint_en': False}",True
T9jiYm08wAM,sempio,it,0.2932984232902527,keep,"keep: unknown allowed — auto: it(0.29), dbg={'ft': ('it', 0.2932984232902527), 'cld3': ('', 0.0), 'hint_en': False}",True
5TH-wj_wJYA,buldak,en,0.8599361181259155,keep,"keep: auto: en(0.86), dbg={'ft': ('en', 0.8599361181259155), 'cld3': ('', 0.0), 'hint_en': False}",True
vtjkrGKIF8c,buldak,en,0.9918784499168396,keep,"keep: auto: en(0.99), dbg={'ft': ('en', 0.9918784499168396), 'cld3': ('', 0.0), 'hint_en': False}",True
Sl1ffEmoXpU,buldak,ja,0.5210859775543213,keep,"keep: unknown allowed — auto: ja(0.52), dbg={'ft': ('ja', 0.5210859775543213), 'cld3': ('', 0.0), 'hint_en': False}",True
s2fNget6h8o,buldak,en,0.4570937752723694,keep,"keep: unknown allowed — auto: en(0.46), dbg={'ft': ('en', 0.4570937752723694), 'cld3': ('', 0.0), 'hint_en': False}",True
tu3P8r2EpSg,samyang,fr,0.8140203356742859,drop,"drop: non-keep fr(0.81) — auto: fr(0.81), dbg={'ft': ('fr', 0.8140203356742859), 'cld3': ('', 0.0), 'hint_en': False}",False
oLhtKf2E8NA,jinro,en,0.3047627806663513,keep,"keep: unknown allowed — auto: en(0.30), dbg={'ft': ('en', 0.3047627806663513), 'cld3': ('', 0.0), 'hint_en': False}",True
