video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields,cohort_date_utc,selected_at_ts_utc,rank_on_selection,selection_order,title,description,tags
FzBiMfTDjbo,buldak,2025-10-01,UCdF0-zLKoh8KlzTwGX-74zA,Chrissy Eats,2025-10-02T07:02:35.189616+00:00,title|description|tags,2025-10-01,2025-10-02T07:02:35.189616+00:00,1,viewCount,,,
EshpPc8jKos,buldak,2025-10-01,UCjfxINxqyvtfjEzDjqj_e2A,Areeba’s home ,2025-10-02T07:02:35.189616+00:00,title|description|tags,2025-10-01,2025-10-02T07:02:35.189616+00:00,2,viewCount,,,
2jbTxIZr7a0,samyang,2025-10-01,UCaG8qBbPo5KlFAjpdVWr_0Q,Sendal Jokey,2025-10-02T07:02:35.189616+00:00,title|description|tags,2025-10-01,2025-10-02T07:02:35.189616+00:00,1,viewCount,,,
TS5A7ulWzXY,sempio,2025-10-01,UCTOE6P6VawBF852RUaAWCNQ,COSMOPOLINerd,2025-10-02T07:02:35.189616+00:00,title|description|tags,2025-10-01,2025-10-02T07:02:35.189616+00:00,1,viewCount,,,
eiuschqogus,buldak,2025-09-30,UC6V0AOr0taHRBOL_oz8CpFQ,TOTALLTOsmallfamily,2025-10-02T07:03:01.360468+00:00,title|description|tags,2025-09-30,2025-10-02T07:03:01.360468+00:00,1,viewCount,,,
rq7nsw41igk,sempio,2025-09-30,UCbKqNdhXCEHZcNo2qLXzeQg,OverTheNight,2025-10-02T07:03:01.360468+00:00,title|description|tags,2025-09-30,2025-10-02T07:03:01.360468+00:00,2,viewCount,,,
T9jiYm08wAM,sempio,2025-09-30,UCp6VSf4O_RFd_FbtdGhsKhA,COLDCASES E MALAGIUSTIZIA,2025-10-02T07:03:01.360468+00:00,title|description|tags,2025-09-30,2025-10-02T07:03:01.360468+00:00,3,viewCount,,,
5TH-wj_wJYA,buldak,2025-09-29,UCdF0-zLKoh8KlzTwGX-74zA,Chrissy Eats,2025-10-02T07:03:24.426955+00:00,title|description|tags,2025-09-29,2025-10-02T07:03:24.426955+00:00,1,viewCount,,,
vtjkrGKIF8c,buldak,2025-09-29,UCA-P9GxmzdwQTBY3kkq5yeg,Attack Their Nuts,2025-10-02T07:03:24.426955+00:00,title|description|tags,2025-09-29,2025-10-02T07:03:24.426955+00:00,2,viewCount,,,
Sl1ffEmoXpU,buldak,2025-09-29,UClkUQ-kTIS7oPeU0iTEZTYw,花の黒騎士あおしん Black Flower Knight Aoshin,2025-10-02T07:03:24.426955+00:00,title|description|tags,2025-09-29,2025-10-02T07:03:24.426955+00:00,3,viewCount,,,
s2fNget6h8o,buldak,2025-09-29,UCk9Siyn7gpKfEJx7rr1dETg,bari,2025-10-02T07:03:24.426955+00:00,title|description|tags,2025-09-29,2025-10-02T07:03:24.426955+00:00,4,viewCount,,,
oLhtKf2E8NA,jinro,2025-09-28,UC12XQWcIlaavjjbhh6EeMJw,SBS Golf,2025-10-02T07:03:48.182788+00:00,title|description|tags,2025-09-28,2025-10-02T07:03:48.182788+00:00,1,viewCount,,,
a9L8OkwpCdI,emart,2025-09-28,UCY3SNm7Kvbculohqt7RgwGw,BEM GLORY EMART TUDAN MIRI (GET YOUTH MINISTRY),2025-10-02T07:03:48.182788+00:00,title|description|tags,2025-09-28,2025-10-02T07:03:48.182788+00:00,1,viewCount,,,
hEFMCZrWuow,sempio,2025-09-28,UCbKqNdhXCEHZcNo2qLXzeQg,OverTheNight,2025-10-02T07:03:48.182788+00:00,title|description|tags,2025-09-28,2025-10-02T07:03:48.182788+00:00,1,viewCount,,,
eVjAMVieHRI,jinro,2025-09-27,UC12XQWcIlaavjjbhh6EeMJw,SBS Golf,2025-10-02T07:04:10.711914+00:00,title|description|tags,2025-09-27,2025-10-02T07:04:10.711914+00:00,1,viewCount,,,
