date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-24,&team,2025-09-30,0,0,0,0,
2025-09-24,aespa,2025-09-30,0,0,0,0,
2025-09-24,ateez,2025-09-30,0,0,0,0,
2025-09-24,babymonster,2025-09-30,0,0,0,0,
2025-09-24,blackpink,2025-09-30,3,12210,214,13,Artistic Army;miiiint ミント🍃🤍;SOLO Gaming
2025-09-24,boynextdoor,2025-09-30,0,0,0,0,
2025-09-24,bts,2025-09-30,49,262287,2519,175,韓国 JIN;더팩트;Asian Babe ASMR
2025-09-24,day6,2025-09-30,18,3655,160,3,たらこ【eFootball】;ABAH;村下緋雨 live
2025-09-24,enhypen,2025-09-30,0,0,0,0,
2025-09-24,hearts2hearts,2025-09-30,1,10539,714,25,ARATA DANCE SCHOOL
2025-09-24,illit,2025-09-30,0,0,0,0,
2025-09-24,itzy,2025-09-30,0,0,0,0,
2025-09-24,ive,2025-09-30,0,0,0,0,
2025-09-24,izna,2025-09-30,0,0,0,0,
2025-09-24,j hope,2025-09-30,1,33,1,0,FM Wisdom Stories
2025-09-24,katseye,2025-09-30,1,62,2,0,Yoonchae's JollySpaghetti
2025-09-24,kickflip,2025-09-30,2,3,1,0,Gazi_Killed_U;XxMuffinLovinxX
2025-09-24,le sserafim,2025-09-30,0,0,0,0,
2025-09-24,nct,2025-09-30,24,31842,178,5,JALLY;GTA SHADES FUN;Camila Nct
2025-09-24,nct 127,2025-09-30,20,30862,93,0,JALLY;GTA SHADES FUN
2025-09-24,nct dream,2025-09-30,0,0,0,0,
2025-09-24,newjeans,2025-09-30,1,78,19,4,SoMan with hype
2025-09-24,nexz,2025-09-30,0,0,0,0,
2025-09-24,niziu,2025-09-30,0,0,0,0,
2025-09-24,nmixx,2025-09-30,0,0,0,0,
2025-09-24,seventeen,2025-09-30,3,689,72,0,The Healed Wife CEO;MOTION ON FRIDAY
2025-09-24,stray kids,2025-09-30,4,111604,6427,158,디스패치 / Dispatch;스타플러스 STAR PLUS;Faeddatoon
2025-09-24,twice,2025-09-30,50,6119,511,14,Alinari;GAMESLATT;SimplePeepsOfficial
2025-09-24,tws,2025-09-30,11,30119,2767,84,The Way Of Solution;TWS Smart;TWS Academy
2025-09-24,weverse,2025-09-30,1,87,7,1,Dr's Classroom
2025-09-24,zerobaseone,2025-09-30,1,742,29,9,Mandumattchu
2025-09-25,&team,2025-09-30,0,0,0,0,
2025-09-25,aespa,2025-09-30,0,0,0,0,
2025-09-25,ateez,2025-09-30,0,0,0,0,
2025-09-25,babymonster,2025-09-30,1,237,0,0,BEBE CANDY
2025-09-25,blackpink,2025-09-30,2,313,6,0,Surgery Review เอเจนซี่ศัลยกรรมเกาหลี;SOLO Gaming
2025-09-25,boynextdoor,2025-09-30,0,0,0,0,
2025-09-25,bts,2025-09-30,49,326096,4999,605,KBS News;디스패치 / Dispatch;RNX TV Korea Ent
2025-09-25,day6,2025-09-30,15,9559,459,0,KBS 스포츠;ANGEL GAMING FF;Runo Ch.  夢見ルノ
2025-09-25,enhypen,2025-09-30,0,0,0,0,
2025-09-25,hearts2hearts,2025-09-30,1,4106,0,24,Omkar Voice
2025-09-25,illit,2025-09-30,0,0,0,0,
2025-09-25,itzy,2025-09-30,0,0,0,0,
2025-09-25,ive,2025-09-30,1,197033,458,0,The Gta Gamers 
2025-09-25,izna,2025-09-30,0,0,0,0,
2025-09-25,j hope,2025-09-30,1,41,2,0,FM Wisdom Stories
2025-09-25,katseye,2025-09-30,0,0,0,0,
2025-09-25,kickflip,2025-09-30,2,22,2,0,NorthernxRush Games;Screen Spaces
2025-09-25,le sserafim,2025-09-30,0,0,0,0,
2025-09-25,nct,2025-09-30,24,40852,238,5,Cute Spidy;JALLY;GTA SHADES FUN
2025-09-25,nct 127,2025-09-30,22,39578,98,0,Cute Spidy;JALLY;GTA SHADES FUN
2025-09-25,nct dream,2025-09-30,0,0,0,0,
2025-09-25,newjeans,2025-09-30,0,0,0,0,
2025-09-25,nexz,2025-09-30,0,0,0,0,
2025-09-25,niziu,2025-09-30,0,0,0,0,
2025-09-25,nmixx,2025-09-30,1,7,0,0,裴真率老公
2025-09-25,seventeen,2025-09-30,3,2923,10,9,TURR LIVE;NirvanaMB;Guhrona
2025-09-25,stray kids,2025-09-30,1,21161,649,89,Street Champs
2025-09-25,twice,2025-09-30,38,6549,206,10,vmoonchildtarot;Eido;The Potter's Ville Church
2025-09-25,tws,2025-09-30,6,22506,2282,82,The Way Of Solution;TWS Academy;TWS Smart
2025-09-25,weverse,2025-09-30,0,0,0,0,
2025-09-25,zerobaseone,2025-09-30,0,0,0,0,
2025-09-26,&team,2025-09-30,1,10366,285,1,xoxotannasxoxo
2025-09-26,aespa,2025-09-30,0,0,0,0,
2025-09-26,ateez,2025-09-30,1,7455,334,12,RNX TV Korea Ent
2025-09-26,babymonster,2025-09-30,3,410,4,0,BEBE CANDY;K-pop lyrics 
2025-09-26,blackpink,2025-09-30,6,18465,271,3,miiiint ミント🍃🤍;K-ADDICT CHINGU;jennie_jk_bts_boy
2025-09-26,boynextdoor,2025-09-30,1,29,0,0,Omkar Voice
2025-09-26,bts,2025-09-30,50,419565,9365,222,디스패치 / Dispatch;RNX TV Korea Ent;BEING AMAN SidNaaz
2025-09-26,day6,2025-09-30,29,20729,382,17,三立新聞網SETN;ANGEL GAMING FF;omgatot
2025-09-26,enhypen,2025-09-30,3,96569,7114,1368,HYBE LABELS;Alina Khomutо͎va;Ace.hee☆
2025-09-26,hearts2hearts,2025-09-30,3,28319,1396,136,dxwxt;夜のゲーム菩薩♥️K-POP;KonxOmPax
2025-09-26,illit,2025-09-30,1,162,2,1,KonxOmPax
2025-09-26,itzy,2025-09-30,0,0,0,0,
2025-09-26,ive,2025-09-30,1,17614,85,0,Exact Story
2025-09-26,izna,2025-09-30,1,285,8,0,Izna.Mohsin
2025-09-26,j hope,2025-09-30,0,0,0,0,
2025-09-26,katseye,2025-09-30,2,27681,1368,127,dxwxt;JAYREELZ 
2025-09-26,kickflip,2025-09-30,1,2,1,0,BIGKEV
2025-09-26,le sserafim,2025-09-30,0,0,0,0,
2025-09-26,nct,2025-09-30,20,34185,101,2,JALLY;GTA SHADES FUN;Newcastle Christian Tabernacle
2025-09-26,nct 127,2025-09-30,19,34139,97,2,JALLY;GTA SHADES FUN
2025-09-26,nct dream,2025-09-30,0,0,0,0,
2025-09-26,newjeans,2025-09-30,1,11,0,0,Gaben de Gene
2025-09-26,nexz,2025-09-30,0,0,0,0,
2025-09-26,niziu,2025-09-30,0,0,0,0,
2025-09-26,nmixx,2025-09-30,0,0,0,0,
2025-09-26,seventeen,2025-09-30,3,3667,108,2,뉴스엔·Newsen;Pasliga Çanakkale;MOTION ON FRIDAY
2025-09-26,stray kids,2025-09-30,4,118451,6213,133,디스패치 / Dispatch;티비텐 TV10;스타플러스 STAR PLUS
2025-09-26,twice,2025-09-30,50,71462,6411,184,Eido;News24;あいうらら / Urara Ai
2025-09-26,tws,2025-09-30,9,22703,2475,95,The Way Of Solution;TWS Academy;TWS Smart
2025-09-26,weverse,2025-09-30,0,0,0,0,
2025-09-26,zerobaseone,2025-09-30,1,6866,272,8,뉴스엔·Newsen
2025-09-27,&team,2025-09-30,0,0,0,0,
2025-09-27,aespa,2025-09-30,1,73,5,0,ねろたん
2025-09-27,ateez,2025-09-30,0,0,0,0,
2025-09-27,babymonster,2025-09-30,0,0,0,0,
2025-09-27,blackpink,2025-09-30,3,13831,180,4,Artistic Army;miiiint ミント🍃🤍;SWEET ASMR PLATTERS 
2025-09-27,boynextdoor,2025-09-30,1,119,0,0,Omkar Voice
2025-09-27,bts,2025-09-30,50,176897,3448,193,Tiffany La'Ryn;Star Station TV;Gorilla Tag VR
2025-09-27,day6,2025-09-30,45,89347,1196,57,PujyaShreeBhai;Adhyathma Kannada;Atul Video
2025-09-27,enhypen,2025-09-30,1,1794,60,2,madissen jansen 
2025-09-27,hearts2hearts,2025-09-30,0,0,0,0,
2025-09-27,illit,2025-09-30,0,0,0,0,
2025-09-27,itzy,2025-09-30,2,108,4,0,ITZY SIIVER GEE
2025-09-27,ive,2025-09-30,0,0,0,0,
2025-09-27,izna,2025-09-30,1,116,7,0,Izna.Mohsin
2025-09-27,j hope,2025-09-30,0,0,0,0,
2025-09-27,katseye,2025-09-30,0,0,0,0,
2025-09-27,kickflip,2025-09-30,3,10,0,0,lcx kid;Dragonstyle
2025-09-27,le sserafim,2025-09-30,1,449,13,1,adn Noticias
2025-09-27,nct,2025-09-30,31,43228,314,16,Adhitya Yappeo;JALLY;GTA SHADES FUN
2025-09-27,nct 127,2025-09-30,27,40009,107,2,JALLY;GTA RAGDOLLS FUN;GTA SHADES FUN
2025-09-27,nct dream,2025-09-30,0,0,0,0,
2025-09-27,newjeans,2025-09-30,0,0,0,0,
2025-09-27,nexz,2025-09-30,0,0,0,0,
2025-09-27,niziu,2025-09-30,2,89,5,4,さわどんチャンネル
2025-09-27,nmixx,2025-09-30,0,0,0,0,
2025-09-27,seventeen,2025-09-30,2,48,3,0,Яна Зухвала;Play with Binod
2025-09-27,stray kids,2025-09-30,3,106580,6775,185,디스패치 / Dispatch;RNX TV Korea Ent;스타플러스 STAR PLUS
2025-09-27,twice,2025-09-30,43,13501,454,5,Rio Ch. 水無世燐央 - UPROAR!! -;ALCOR ACCOUNTABILITY;ลากถุงปุ๋ย คุยคนเดียว
2025-09-27,tws,2025-09-30,6,12870,1348,33,The Way Of Solution;TWS Academy;TWS Smart
2025-09-27,weverse,2025-09-30,0,0,0,0,
2025-09-27,zerobaseone,2025-09-30,0,0,0,0,
2025-09-28,&team,2025-09-30,0,0,0,0,
2025-09-28,aespa,2025-09-30,0,0,0,0,
2025-09-28,ateez,2025-09-30,0,0,0,0,
2025-09-28,babymonster,2025-09-30,2,985,20,3,Miss Aneesa;BEBE CANDY
2025-09-28,blackpink,2025-09-30,11,21932,297,5,Artistic Army;miiiint ミント🍃🤍;SWEET ASMR PLATTERS 
2025-09-28,boynextdoor,2025-09-30,0,0,0,0,
2025-09-28,bts,2025-09-30,50,386148,4554,114,Entertainment - Mediacorp;💝BTS ALONE 💝;💜..BTS..💜
2025-09-28,day6,2025-09-30,49,284866,11411,151,クーYouTubeちゃんねる;PujyaShreeBhai;藍月亮
