report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-30,&team,1,10366,285,1,
2025-09-30,aespa,2,222,8,0,
2025-09-30,ateez,1,7455,334,12,
2025-09-30,babymonster,7,1745,25,3,
2025-09-30,blackpink,36,81312,1231,60,
2025-09-30,boynextdoor,2,148,0,0,
2025-09-30,bts,347,3252228,69596,2278,
2025-09-30,day6,216,445516,14622,260,
2025-09-30,enhypen,8,203526,10449,1419,
2025-09-30,hearts2hearts,5,42964,2110,185,
2025-09-30,illit,2,215,2,1,
2025-09-30,itzy,3,133,6,1,
2025-09-30,ive,3,227068,578,5,
2025-09-30,izna,7,18713,462,35,
2025-09-30,j hope,2,74,3,0,
2025-09-30,katseye,4,27765,1372,127,
2025-09-30,kickflip,13,13072,992,25,
2025-09-30,le sserafim,1,449,13,1,
2025-09-30,nct,233,284784,1300,41,
2025-09-30,nct 127,212,273581,708,7,
2025-09-30,nct dream,1,157,0,0,
2025-09-30,newjeans,6,941,54,5,
2025-09-30,nexz,2,33518,3508,68,
2025-09-30,niziu,2,89,5,4,
2025-09-30,nmixx,1,7,0,0,
2025-09-30,seventeen,18,64200,736,15,
2025-09-30,stray kids,22,528327,28462,745,
2025-09-30,twice,314,174093,10865,501,
2025-09-30,tws,35,88396,8872,294,
2025-09-30,weverse,10,75975,3330,218,
2025-09-30,zerobaseone,2,7608,301,17,
2025-10-01,&team,1,10474,287,1,
2025-10-01,aespa,2,222,8,0,
2025-10-01,ateez,1,7457,334,12,
2025-10-01,babymonster,7,1812,27,3,
2025-10-01,blackpink,40,81624,1241,58,
2025-10-01,boynextdoor,2,149,0,0,
2025-10-01,bts,345,3583231,72793,2249,
2025-10-01,day6,217,463324,14831,265,
2025-10-01,enhypen,10,207499,10526,1433,
2025-10-01,hearts2hearts,4,35515,1497,163,
2025-10-01,illit,2,234,3,1,
2025-10-01,itzy,3,133,7,1,
2025-10-01,ive,3,235021,597,8,
2025-10-01,izna,10,34630,776,60,
2025-10-01,j hope,2,112,2,0,
2025-10-01,katseye,5,30831,1472,130,
2025-10-01,kickflip,12,19976,1609,32,
2025-10-01,le sserafim,2,3503,108,6,
2025-10-01,nct,252,298279,1243,38,
2025-10-01,nct 127,238,287789,734,8,
2025-10-01,nct dream,1,174,0,0,
2025-10-01,nct wish,1,3,0,0,
2025-10-01,newjeans,5,877,35,1,
2025-10-01,nexz,2,36509,3639,73,
2025-10-01,niziu,2,98,5,4,
2025-10-01,nmixx,1,7,0,0,
2025-10-01,riize,2,21688,313,21,
2025-10-01,seventeen,16,65487,700,18,
2025-10-01,stray kids,21,422800,22213,600,
2025-10-01,tomorrow x together,2,1100,0,0,
2025-10-01,twice,309,194379,11179,527,
2025-10-01,tws,24,60335,6228,210,
2025-10-01,weverse,20,81254,3389,261,
2025-10-01,zerobaseone,2,6911,272,8,
2025-10-02,&team,1,10516,287,1,
2025-10-02,aespa,2,222,8,0,
2025-10-02,ateez,1,7463,334,12,
2025-10-02,babymonster,7,1610,28,3,
2025-10-02,blackpink,43,89127,1371,71,
2025-10-02,boynextdoor,3,291,0,0,
2025-10-02,bts,344,3856017,73162,1765,
2025-10-02,day6,220,468194,14603,271,
2025-10-02,enhypen,11,209432,10552,1445,
2025-10-02,hearts2hearts,3,33511,1555,143,
2025-10-02,illit,3,264,5,1,
2025-10-02,itzy,3,134,7,1,
2025-10-02,ive,2,42655,153,12,
2025-10-02,izna,12,46954,1035,85,
2025-10-02,j hope,1,71,0,0,
2025-10-02,katseye,5,32903,1529,133,
2025-10-02,kickflip,12,21176,1647,40,
2025-10-02,le sserafim,2,3795,109,7,
2025-10-02,nct,268,296068,1111,34,
2025-10-02,nct 127,254,286375,736,8,
2025-10-02,nct dream,1,176,0,0,
2025-10-02,nct wish,1,3,0,0,
2025-10-02,newjeans,6,914,38,2,
2025-10-02,nexz,2,38630,3723,76,
2025-10-02,niziu,2,106,5,4,
2025-10-02,nmixx,1,1043,64,3,
2025-10-02,riize,2,28955,369,29,
2025-10-02,seventeen,15,65601,834,7,
2025-10-02,stray kids,20,392644,21207,501,
2025-10-02,tomorrow x together,7,2456,1,2,
2025-10-02,twice,311,202772,11309,538,
2025-10-02,tws,21,40301,4057,131,
2025-10-02,weverse,26,83148,3495,267,
2025-10-02,zerobaseone,2,6977,272,8,
2025-10-03,&team,1,757,0,0,
2025-10-03,aespa,3,230,9,0,
2025-10-03,ateez,3,23,3,0,
