Keyword,Aliases,Korean
cravity,,크래비티
ive,,아이브
kiiikiii,,키키
zerobaseone,,제로베이스원
ateez,,에이티즈
izna,,이즈나
twice,,트와이스
stray kids,stray-kids|stray.kids|stray_kids|straykids|스키즈,스트레이 키즈
niziu,,니쥬
itzy,,잇지
vcha,,
nmixx,,엔믹스
nexz,,넥스지
day6,,데이식스
misamo,,미사모
xdinary heroes,xdinary-heroes|xdinary.heroes|xdinary_heroes|xdinaryheroes,엑스디너리 히어로즈
kickflip,,킥플립
riize,,라이즈
aespa,,에스파
nct,,
nct wish,nct-wish|nct.wish|nct_wish|nctwish,
nct dream,nct-dream|nct.dream|nct_dream|nctdream,
nct 127,nct-127|nct.127|nct127|nct_127,
hearts2hearts,하투하,하츠투하츠 
dearalice,,디어 앨리스
blackpink,블핑,블랙핑크
babymonster,,베이비몬스터
gidle,,(여자)아이들
bts,,방탄소년단
j hope,j-hope|j.hope|j_hope|jhope,제이홉
tomorrow x together,tomorrow-x-together|tomorrow.x.together|tomorrow_x_together|tomorrowxtogether,투모로우바이투게더
enhypen,,엔하이픈
illit,,아일릿
le sserafim,le-sserafim|le.sserafim|le_sserafim|lesserafim,르세라핌
boynextdoor,,보이넥스트도어
newjeans,,뉴진스
&team,,앤팀
katseye,,캣츠아이
weverse,,위버스
seventeen,,세븐틴
tws,,투어스
njz,,엔제이지
